username;name;gender;birth_date;account_creation;pay_method;account_status
SebaAmaral;Sebastião Amaral;M;27/11/1993;09/09/2018;cash;active
AndrFernandes;André Fernandes;M;08/06/1990;18/02/2020;cash;active
IsMelo133;Isaac Melo;M;15/03/1980;19/02/2018;cash;active
BruBatista6;Bruno Batista;M;04/07/1980;25/03/2021;debit_card;active
NúrFreitas-Monteiro114;Núria Freitas-Monteiro;F;20/10/2000;23/06/2012;credit_card;active
JSilva;Juliana Silva;F;11/07/1991;06/03/2016;cash;active
DAzevedo;Débora Azevedo;F;26/12/1963;10/12/2012;debit_card;active
CésNunes;César Nunes;M;15/02/2003;15/01/2013;debit_card;active
MiGaspar;Mia Gaspar;F;18/05/1951;09/06/2021;cash;active
CarmiAlmeida;Carminho Almeida;F;10/07/1976;13/01/2017;cash;active
TBarbosa;Teresa do Barbosa;F;30/06/1966;12/10/2013;debit_card;active
LetíciCardoso27;Letícia Cardoso;F;16/09/1988;18/02/2019;debit_card;active
MAraújo117;Mário Araújo;M;14/12/1971;05/10/2020;credit_card;active
GaFaria125;Gaspar Faria;M;01/06/1975;05/03/2020;credit_card;active
PeGaspar137;Pedro Gaspar;M;09/02/1952;05/06/2017;credit_card;active
NRodrigues;Nuno Rodrigues;M;20/08/1979;22/08/2020;cash;active
NaiaGomes19;Naiara Gomes;F;29/12/1988;09/08/2017;credit_card;active
VicenSilva-Machado;Vicente Silva-Machado;M;07/06/1965;31/01/2018;debit_card;active
IvaGonçalves109;Ivan Gonçalves;M;15/03/1997;06/11/2020;cash;active
ÂngelLeite-Machado34;Ângelo Leite-Machado;M;27/03/2002;28/04/2018;credit_card;active
SebPinho;Sebastião Pinho;M;20/02/1956;26/02/2012;credit_card;active
DCunha45;Duarte Cunha;M;31/07/1995;29/08/2017;cash;active
MTeixeira;Mara Teixeira;F;06/05/1956;15/05/2012;credit_card;active
MáriCarvalho28;Mário Carvalho;M;12/04/1983;29/10/2021;cash;active
DanGuerreiro;Daniel Guerreiro;M;10/11/1991;27/09/2012;credit_card;active
IaGomes134;Iara Gomes;F;18/09/2004;11/01/2013;debit_card;active
RGomes;Rui Gomes;M;20/10/1998;14/01/2012;debit_card;active
SCampos;Sofia de Campos;F;04/07/1978;15/04/2018;cash;active
VitórBarros59;Vitória Barros;F;11/09/1983;27/09/2010;debit_card;inactive
MCardoso-Andrade129;Mara Cardoso-Andrade;F;18/01/1986;22/01/2012;debit_card;active
MaMonteiro47;Mauro Monteiro;M;03/03/1979;17/09/2019;cash;active
EmNeto;Ema Neto;F;10/06/1967;09/11/2019;cash;active
JulMonteiro-Almeida42;Juliana Monteiro-Almeida;F;05/12/1984;27/06/2013;cash;active
NaiLopes24;Naiara Lopes;F;19/12/1968;09/02/2020;credit_card;active
SofiBrito;Sofia Brito;F;20/08/1979;31/01/2019;cash;active
BPaiva;Bárbara Paiva;F;08/06/1998;25/09/2012;credit_card;active
EmanAmaral;Emanuel Amaral;M;23/09/1993;24/11/2019;debit_card;active
ArianMoreira;Ariana do Moreira;F;17/10/1963;23/03/2016;debit_card;active
KyFonseca;Kyara Fonseca;F;06/01/1983;01/01/2021;cash;active
IgoFigueiredo20;Igor Figueiredo;M;02/12/1976;28/03/2014;credit_card;active
DaNascimento130;David Nascimento;M;25/05/1998;22/10/2017;credit_card;active
MarianGonçalves80;Mariana Gonçalves;F;08/02/1980;30/12/2011;credit_card;active
DanAraújo;Daniel Araújo;M;17/10/1989;29/07/2017;cash;active
ÂngelBarbosa79;Ângelo da Barbosa;M;23/04/1980;01/09/2018;debit_card;active
MariNascimento-Marques76;Mariana Nascimento-Marques;F;19/10/1976;17/08/2018;debit_card;active
DMorais;Dinis Morais;M;20/09/1994;19/11/2017;cash;active
DiaPereira;Diana Pereira;F;17/04/1951;08/08/2019;debit_card;active
DanielMelo15;Daniela Melo;F;13/09/1987;15/09/2017;credit_card;active
AndBaptista58;Andreia Baptista;F;20/04/1950;03/04/2010;credit_card;active
IsaGarcia115;Isaac Garcia;M;25/02/1981;15/07/2017;credit_card;active
RGonçalves143;Rodrigo Gonçalves;M;19/11/1993;02/12/2010;credit_card;active
CLopes-Correia;Carlos Lopes-Correia;M;20/09/2003;18/12/2015;debit_card;active
ÍriCunha84;Íris Cunha;F;31/08/1977;13/07/2012;credit_card;active
LúAnjos133;Lúcia Anjos;F;27/03/1964;21/09/2010;credit_card;active
AlexandrAntunes70;Alexandra Antunes;F;15/06/1984;02/08/2014;credit_card;active
CaeAssunção;Caetana da Assunção;F;11/12/2002;30/08/2018;cash;active
VNascimento;Victória da Nascimento;F;28/10/1958;03/11/2020;cash;active
LourenEsteves;Lourenço Esteves;M;11/07/1957;29/10/2011;cash;active
YasmiNascimento;Yasmin Nascimento;F;20/12/1985;17/06/2017;debit_card;active
AGonçalves;Afonso Gonçalves;M;26/04/1968;18/07/2016;credit_card;active
RafOliveira-Melo3;Rafael Oliveira-Melo;M;17/07/2000;07/03/2020;cash;active
MMaia6;Matias Maia;M;10/02/1952;20/04/2019;cash;active
LuGuerreiro;Luana Guerreiro;F;21/09/1969;15/05/2017;credit_card;active
ConsMatias141;Constança do Matias;F;24/11/1960;11/03/2013;debit_card;active
LucMagalhães;Luciana Magalhães;F;31/01/1979;12/09/2018;credit_card;active
JoMiranda;João Miranda;M;10/01/1953;29/02/2016;cash;active
EmBorges;Emma Borges;F;26/01/2004;19/01/2018;credit_card;active
ÁlvLeite-Vieira60;Álvaro Leite-Vieira;M;06/11/1956;27/10/2011;debit_card;active
LuaCarvalho28;Luana Carvalho;F;06/05/1960;09/11/2013;cash;active
BenjamPaiva96;Benjamim do Paiva;M;12/11/1999;10/06/2011;cash;active
BeatrizGonçalves;Beatriz-Inês Gonçalves;F;02/09/2001;05/04/2015;credit_card;active
MigEsteves27;Miguel Esteves;M;17/07/2004;23/08/2021;debit_card;active
DiBrito;Diogo Brito;M;13/02/1987;22/06/2020;debit_card;active
BruPinho;Bruna Pinho;F;24/08/1956;04/05/2014;cash;active
KelRibeiro122;Kelly Ribeiro;F;10/03/1992;13/04/2017;cash;active
RaAmaral;Raquel Amaral;F;29/12/2002;16/04/2012;credit_card;active
MariaPires;Mariana Pires;F;12/11/1950;22/11/2010;credit_card;active
NunPacheco87;Nuno da Pacheco;M;26/12/1992;06/04/2019;credit_card;active
BianPaiva;Bianca Paiva;F;08/08/1987;04/02/2019;credit_card;active
EMatos90;Emília Matos;F;28/01/1985;13/01/2010;credit_card;active
EriGaspar37;Erica Gaspar;F;25/09/1964;17/03/2021;credit_card;active
CarPinheiro-Santos142;Carolina Pinheiro-Santos;F;30/09/1988;10/05/2018;cash;active
RafCoelho42;Rafael Coelho;M;05/09/1995;28/05/2020;cash;active
RaqCorreia93;Raquel Correia;F;22/03/1956;18/07/2011;debit_card;active
MBarbosa-Fernandes73;Maria Barbosa-Fernandes;F;09/05/1996;24/01/2018;cash;active
PatríGonçalves;Patrícia Gonçalves;F;21/06/1977;13/11/2014;cash;active
IvLima;Ivo Lima;M;15/04/1963;05/02/2017;debit_card;active
VictóriValente145;Victória Valente;F;07/01/1956;15/03/2011;cash;active
RenaBarbosa37;Renata Barbosa;F;04/05/2003;12/11/2010;cash;active
CDomingues61;César Domingues;M;11/08/1982;01/12/2011;debit_card;active
YaSousa35;Yara Sousa;F;31/01/1978;04/12/2019;credit_card;active
MiPaiva138;Mia Paiva;F;03/03/1962;19/06/2012;debit_card;active
RafaelMendes26;Rafaela Mendes;F;10/11/1977;11/06/2013;cash;active
AlíciBrito;Alícia Brito;F;06/10/1989;24/11/2012;debit_card;active
LisMarques145;Lisandro Marques;M;10/02/1956;18/11/2010;cash;active
BeaFonseca;Beatriz Fonseca;F;08/07/1983;15/09/2017;cash;active
AndrAntunes48;André Antunes;M;01/03/1957;29/01/2018;cash;active
ErikMendes-Costa;Erika Mendes-Costa;F;20/02/1974;12/07/2013;cash;active
LisaNunes40;Lisandro Nunes;M;21/01/1980;16/07/2018;cash;active
IvaAraújo;Ivan Araújo;M;10/02/1989;19/07/2011;cash;active
IaSousa;Iara Sousa;F;30/01/1993;17/07/2021;debit_card;active
RLourenço;Rafael Lourenço;M;09/01/1991;14/04/2017;debit_card;active
FernAmorim3;Fernando Amorim;M;16/05/1972;24/06/2019;credit_card;active
FrederCunha19;Frederico Cunha;M;19/09/1954;17/03/2013;debit_card;active
AnJesus88;Ana Jesus;F;21/10/1985;11/08/2010;credit_card;active
VítoValente-Batista126;Vítor Valente-Batista;M;27/05/1955;17/02/2019;debit_card;active
HelAmorim;Helena Amorim;F;16/05/1965;21/09/2019;credit_card;active
SorRocha-Mota117;Soraia Rocha-Mota;F;18/09/1963;20/03/2018;debit_card;active
ISoares89;Igor Soares;M;24/01/1976;03/09/2010;credit_card;active
Filipa-DiaRodrigues104;Filipa-Diana Rodrigues;F;20/06/1964;14/11/2021;debit_card;active
CláudiTeixeira124;Cláudio Teixeira;M;02/06/1954;29/05/2012;debit_card;active
TomEsteves21;Tomás Esteves;M;05/08/1969;22/08/2016;debit_card;active
MatiaPires;Matias Pires;M;26/05/1974;16/07/2010;credit_card;active
ARocha-Macedo88;Artur Rocha-Macedo;M;22/07/1960;21/10/2015;credit_card;active
DioMagalhães;Diogo Magalhães;M;15/09/1993;28/12/2012;cash;active
WilliaFerreira4;William da Ferreira;M;14/08/1965;25/08/2015;cash;active
MarBarros66;Maria Barros;F;22/10/1983;02/05/2014;debit_card;inactive
GuNunes52;Guilherme Nunes;M;03/10/2001;23/06/2015;debit_card;active
MadalePereira-Miranda141;Madalena Pereira-Miranda;F;22/11/1965;16/03/2018;cash;active
NunMelo-Simões74;Nuno Melo-Simões;M;23/02/1960;26/04/2013;credit_card;active
YVaz83;Yara Vaz;F;20/04/1971;07/05/2011;debit_card;active
YasmCastro;Yasmin da Castro;F;06/07/1969;16/03/2011;cash;active
LeoMachado104;Leonardo Machado;M;09/05/1986;12/10/2018;credit_card;active
EdPinto25;Edgar Pinto;M;10/02/1997;17/08/2012;debit_card;active
JoMonteiro;José do Monteiro;M;19/03/1999;08/06/2011;credit_card;active
IsReis30;Isabel do Reis;F;27/02/2001;18/02/2015;debit_card;active
RenRamos;Renato Ramos;M;01/09/1967;20/02/2016;debit_card;active
Erika-VitórRibeiro;Erika-Vitória Ribeiro;F;07/10/1953;08/05/2014;debit_card;active
VaAmaral;Vasco da Amaral;M;01/02/1964;13/07/2020;credit_card;inactive
JúRocha;Júlia Rocha;F;13/04/1976;25/03/2013;cash;active
EmanuePinheiro;Emanuel do Pinheiro;M;25/04/1977;28/12/2014;cash;active
MaOliveira121;Matilde Oliveira;F;08/08/1993;01/03/2010;credit_card;active
VicentNunes100;Vicente Nunes;M;17/07/1976;08/04/2017;debit_card;active
WiSá;William Sá;M;21/06/1989;16/10/2015;debit_card;active
FilipRodrigues2;Filipe Rodrigues;M;15/05/1988;05/06/2019;credit_card;active
TPinheiro9;Tiago Pinheiro;M;08/02/1995;12/09/2018;debit_card;active
AlBarbosa;Alice Barbosa;F;10/05/1953;27/08/2013;cash;active
MMacedo;Marcos Macedo;M;13/05/1957;22/10/2012;cash;active
MaBatista62;Matias do Batista;M;12/05/1994;20/08/2012;debit_card;active
ABrito39;Artur Brito;M;26/02/1965;28/09/2014;credit_card;active
ManueSousa;Manuel Sousa;M;18/08/2002;31/05/2016;debit_card;active
Mara-AnCorreia;Mara-Andreia Correia;F;14/10/1994;21/09/2014;cash;inactive
Lia-LuíPaiva80;Lia-Luísa Paiva;F;25/03/1983;18/12/2021;cash;active
JésVicente;Jéssica Vicente;F;06/11/1951;14/01/2018;credit_card;active
VerAndrade16;Vera Andrade;F;13/09/1999;12/07/2012;credit_card;active
ClarMota126;Clara da Mota;F;19/08/1991;06/04/2021;cash;active
AntóniPaiva68;António da Paiva;M;28/09/1999;30/08/2012;credit_card;active
GaLeite133;Gabriela da Leite;F;03/08/1992;25/05/2019;debit_card;active
LarisSilva148;Larissa Silva;F;10/06/1989;03/04/2020;cash;active
XavAlmeida59;Xavier Almeida;M;01/08/1951;15/10/2015;cash;active
EAmorim;Eva Amorim;F;12/09/2000;17/04/2014;cash;active
PaulRamos67;Paulo Ramos;M;01/02/1951;14/05/2012;debit_card;active
DaviDomingues97;David Domingues;M;19/11/1993;10/06/2015;cash;active
DiTeixeira;Diogo Teixeira;M;10/08/1995;26/06/2014;debit_card;active
EdSá114;Edgar Sá;M;06/09/1996;08/02/2015;cash;active
RitVicente150;Rita Vicente;F;23/01/1961;22/05/2015;credit_card;active
LariGonçalves;Larissa Gonçalves;F;23/10/1993;21/05/2021;debit_card;active
RGuerreiro;Renata Guerreiro;F;24/02/1965;24/02/2020;credit_card;active
GaspaMagalhães133;Gaspar Magalhães;M;21/01/1964;01/05/2014;credit_card;active
ValentiNeto120;Valentina Neto;F;18/08/2002;05/09/2010;credit_card;active
DenMatos;Denis Matos;M;22/12/1994;06/10/2021;debit_card;active
FrMonteiro;Francisca Monteiro;F;09/11/1971;04/02/2017;credit_card;active
HuLourenço;Hugo Lourenço;M;23/12/1960;20/10/2016;credit_card;active
RafaVaz83;Rafaela Vaz;F;01/09/1972;21/12/2016;cash;active
BruMagalhães84;Bruna-Flor Magalhães;F;10/03/1959;15/01/2016;credit_card;active
AfonSilva;Afonso Silva;M;10/12/1974;12/01/2020;cash;active
FabianMonteiro79;Fabiana Monteiro;F;26/08/1978;17/01/2013;debit_card;active
RVaz;Rafaela Vaz;F;03/03/1986;19/05/2020;cash;active
BPinho;Benedita Pinho;F;24/07/1965;20/12/2010;debit_card;active
SoraiBaptista150;Soraia Baptista;F;18/12/1974;26/04/2015;credit_card;active
CristianGuerreiro;Cristiano Guerreiro;M;23/09/1998;02/12/2018;cash;active
MelBrito137;Melissa Brito;F;07/05/1982;12/04/2017;credit_card;active
IgMartins48;Igor Martins;M;25/05/2004;19/01/2016;debit_card;active
DiFreitas68;Diego Freitas;M;28/04/1977;01/10/2019;credit_card;active
CaFonseca-Loureiro70;Camila Fonseca-Loureiro;F;03/02/1954;02/08/2020;cash;active
MarMatos55;Marcos Matos;M;21/05/1994;28/10/2020;credit_card;active
SGarcia89;Salomé Garcia;F;06/10/1987;16/02/2020;debit_card;active
ÉRodrigues82;Érica Rodrigues;F;15/05/1965;30/03/2012;credit_card;active
RMota5;Rita Mota;F;28/06/2001;18/01/2014;debit_card;active
LeonardGonçalves26;Leonardo Gonçalves;M;03/10/1950;06/05/2014;debit_card;active
SaAlmeida;Sara Almeida;F;09/09/1971;27/04/2020;cash;active
LourenGarcia51;Lourenço de Garcia;M;24/09/1965;21/06/2012;credit_card;active
VSantos106;Vasco Santos;M;16/11/2001;10/08/2015;credit_card;active
LucBrito-Cardoso;Lucas Brito-Cardoso;M;15/08/1990;12/11/2015;credit_card;active
EdCosta11;Edgar Costa;M;02/03/2001;28/08/2016;debit_card;active
SoraiGaspar99;Soraia Gaspar;F;17/12/1996;18/04/2021;credit_card;active
MMatias;Madalena Matias;F;28/10/1958;18/06/2016;credit_card;active
DaEsteves88;David do Esteves;M;13/07/1953;24/06/2017;credit_card;active
PTavares6;Petra Tavares;F;27/07/1983;13/02/2020;cash;active
EmílCampos;Emília Campos;F;14/11/1975;13/06/2019;cash;active
SBarros;Samuel Barros;M;26/02/1956;01/12/2021;debit_card;active
CNascimento;Clara Nascimento;F;22/02/1950;13/03/2017;cash;active
LorHenriques54;Lorena Henriques;F;06/05/1994;03/11/2015;cash;active
DiniGomes;Dinis Gomes;M;13/01/1951;16/08/2013;debit_card;inactive
FiliCunha114;Filipa Cunha;F;31/05/1959;16/05/2017;cash;active
NCoelho127;Nair de Coelho;F;05/11/1989;28/03/2018;cash;active
IriCorreia28;Irina Correia;F;15/02/1977;16/09/2012;credit_card;active
GuilherBorges122;Guilherme da Borges;M;07/02/1983;24/10/2017;credit_card;active
LuFreitas;Luís Freitas;M;04/12/1982;24/01/2019;cash;active
JMartins138;José Martins;M;09/12/1958;04/06/2021;credit_card;active
FilMachado141;Filipa Machado;F;31/01/2000;26/09/2019;cash;inactive
AnCorreia;Anita Correia;F;24/08/1957;22/03/2013;debit_card;active
IMagalhães94;Isabela Magalhães;F;18/06/1976;09/11/2020;credit_card;active
AnSimões71;Ana Simões;F;04/09/1996;30/03/2014;credit_card;active
ECruz-Assunção;Ema Cruz-Assunção;F;20/09/1975;15/07/2015;cash;active
JéssPereira110;Jéssica Pereira;F;30/08/1969;31/05/2018;credit_card;active
SaCarvalho67;Santiago Carvalho;M;31/07/1995;06/12/2018;debit_card;active
BernarRodrigues-Pinheiro117;Bernardo Rodrigues-Pinheiro;M;31/07/1994;08/09/2019;cash;active
ÁlJesus;Álvaro Jesus;M;13/01/1998;19/09/2020;cash;active
BrCruz115;Bruno Cruz;M;23/10/1971;15/03/2012;debit_card;active
GuilheNeto125;Guilherme Neto;M;09/11/1992;15/06/2020;credit_card;active
AlHenriques;Alícia Henriques;F;01/01/2003;07/04/2021;cash;active
ArFerreira116;Ariana Ferreira;F;05/05/1983;15/01/2021;credit_card;active
INeves61;Igor Neves;M;23/12/2002;21/11/2015;credit_card;active
JoaqSantos;Joaquim do Santos;M;12/07/1980;06/09/2014;cash;active
FredPacheco;Frederico Pacheco;M;24/04/1951;03/02/2013;cash;active
MaPinheiro-Tavares;Martim Pinheiro-Tavares;M;12/02/2000;10/06/2014;cash;active
EmaBarros;Emanuel Barros;M;01/07/2004;23/04/2019;debit_card;active
MadalCarneiro145;Madalena da Carneiro;F;25/02/2004;08/06/2019;credit_card;active
PatríciAssunção-Melo;Patrícia Assunção-Melo;F;10/08/1996;22/01/2016;debit_card;active
MRibeiro56;Martim Ribeiro;M;21/04/1985;25/03/2012;credit_card;active
LOliveira6;Lourenço Oliveira;M;22/09/1974;14/07/2020;debit_card;active
Bruna-Alves;Bruna-Ângela Alves;F;04/11/1974;24/08/2015;debit_card;inactive
FRibeiro130;Fernando Ribeiro;M;03/01/1978;23/05/2010;credit_card;active
EMelo6;Edgar Melo;M;11/04/2004;08/07/2014;cash;active
ConstanCoelho;Constança Coelho;F;10/06/1975;20/01/2018;debit_card;active
LGomes;Lara Gomes;F;26/05/1978;06/09/2015;credit_card;active
AnPaiva;Anita Paiva;F;26/05/1985;06/05/2017;debit_card;active
ManBarros138;Manuel Barros;M;12/03/1961;22/06/2020;debit_card;active
RiMagalhães;Rita Magalhães;F;19/10/1963;13/05/2010;debit_card;active
SAlves;Sandro Alves;M;01/09/1950;27/10/2018;credit_card;active
GasFernandes;Gaspar do Fernandes;M;10/07/1951;24/04/2017;credit_card;active
LaurSoares-Rodrigues123;Laura Soares-Rodrigues;F;31/12/1963;23/10/2011;credit_card;active
VitóriMorais51;Vitória Morais;F;19/06/1986;13/12/2011;cash;active
CarminLeal;Carminho Leal;F;19/04/1989;12/10/2019;cash;active
JTeixeira68;João Teixeira;M;05/07/1967;10/10/2014;cash;active
LaPinho;Larissa Pinho;F;06/08/1991;27/12/2011;credit_card;active
BrLima;Bruno Lima;M;21/10/1982;23/02/2017;debit_card;active
SebastiBrito91;Sebastião Brito;M;28/02/1984;18/11/2011;cash;active
JuSousa-Maia25;Juliana Sousa-Maia;F;18/03/1975;06/05/2010;credit_card;active
MáRamos89;Mário Ramos;M;11/05/1988;29/12/2017;credit_card;active
DiogAzevedo104;Diogo Azevedo;M;12/07/1969;24/12/2010;credit_card;active
MaMarques138;Marta Marques;F;05/02/1971;15/03/2012;cash;active
SamVicente146;Samuel Vicente;M;02/07/1954;10/03/2021;debit_card;active
AndreNunes77;Andreia Nunes;F;27/01/1973;21/05/2010;credit_card;active
JulAbreu;Juliana Abreu;F;03/03/1991;08/09/2020;cash;inactive
BriaMoreira;Brian Moreira;M;14/07/1971;10/11/2010;cash;active
GusEsteves11;Gustavo da Esteves;M;08/08/1985;08/10/2018;credit_card;active
IReis;Iara Reis;F;01/12/2001;24/05/2021;debit_card;active
KyaCardoso;Kyara Cardoso;F;27/03/1974;09/08/2013;debit_card;inactive
InCarvalho113;Inês Carvalho;F;25/08/1999;18/06/2012;cash;active
PePires;Petra Pires;F;06/01/1975;03/01/2015;cash;active
HeleTeixeira103;Helena-Luna Teixeira;F;01/12/1969;29/12/2012;cash;active
EduardBrito;Eduarda Brito;F;13/03/1954;03/04/2018;credit_card;active
BrunAndrade141;Bruna Andrade;F;03/09/1986;20/05/2018;cash;active
XAnjos142;Xavier Anjos;M;06/01/1979;23/08/2012;debit_card;active
FredGuerreiro127;Frederico Guerreiro;M;08/03/2003;26/01/2011;cash;active
CarlCosta99;Carlota Costa;F;27/01/1993;26/07/2020;debit_card;active
IsabGarcia66;Isabela Garcia;F;04/12/1986;31/01/2020;cash;active
EnAraújo;Enzo Araújo;M;08/08/1953;31/05/2021;cash;active
RiCruz;Rita Cruz;F;12/08/1971;09/01/2021;cash;active
FiMagalhães;Filipe Magalhães;M;31/10/1965;31/01/2015;credit_card;active
MSousa;Marta Sousa;F;27/12/1977;30/08/2019;credit_card;active
NúriMatos94;Núria Matos;F;02/07/1997;16/11/2014;debit_card;active
LaCosta;Laura-Tatiana Costa;F;19/11/1976;28/07/2021;credit_card;active
HelTavares;Helena de Tavares;F;18/04/1979;27/08/2015;cash;active
PaRocha;Paulo Rocha;M;09/08/1971;03/03/2020;debit_card;active
GLopes;Gonçalo Lopes;M;15/08/1997;26/05/2016;debit_card;active
LeTavares103;Letícia Tavares;F;12/10/1959;03/07/2014;credit_card;active
VaCosta;Vasco Costa;M;24/01/1962;28/06/2019;credit_card;active
JulAndrade;Juliana Andrade;F;14/07/1965;07/09/2016;debit_card;active
HFreitas6;Hugo Freitas;M;26/06/1992;15/08/2021;cash;active
MatiLourenço51;Matilde Lourenço;F;04/04/1954;26/08/2018;credit_card;active
IrDomingues;Irina Domingues;F;11/09/2000;31/10/2014;cash;active
IgAmorim65;Igor Amorim;M;19/08/1999;11/10/2013;debit_card;active
LFigueiredo;Lisandro Figueiredo;M;29/03/1994;26/12/2012;credit_card;active
ViLoureiro-Rodrigues139;Vitória Loureiro-Rodrigues;F;11/05/2002;05/05/2017;debit_card;active
BernarFonseca39;Bernardo Fonseca;M;11/04/2001;19/07/2012;cash;active
EEsteves50;Eva Esteves;F;24/03/1966;27/01/2017;credit_card;active
BárCruz142;Bárbara Cruz;F;04/07/2000;03/08/2018;debit_card;active
ÍNeves;Íris Neves;F;03/06/1958;13/07/2020;debit_card;inactive
MafaldValente;Mafalda Valente;F;25/09/1961;28/04/2015;debit_card;active
DéboNeves7;Débora Neves;F;05/02/1998;03/05/2010;credit_card;active
EduLoureiro;Eduardo Loureiro;M;27/09/2003;27/05/2011;credit_card;active
CCastro91;Camila Castro;F;05/01/1959;10/06/2010;cash;active
MBaptista;Miriam Baptista;F;10/10/1963;07/12/2019;cash;active
GoMachado75;Gonçalo Machado;M;23/10/1953;21/02/2012;credit_card;active
BenjamiFreitas-Ribeiro103;Benjamim Freitas-Ribeiro;M;06/02/1972;04/10/2019;debit_card;active
SMartins82;Sara Martins;F;12/10/1976;28/09/2015;debit_card;active
EmAbreu86;Emma de Abreu;F;04/11/1958;29/06/2015;credit_card;inactive
ASantos;Adriana Santos;F;08/03/1970;09/01/2010;debit_card;active
RicardVicente114;Ricardo Vicente;M;20/08/1975;17/06/2014;cash;active
AAlves-Marques109;Afonso Alves-Marques;M;07/02/1952;24/09/2011;credit_card;active
RoMiranda;Rodrigo do Miranda;M;29/11/1984;04/07/2018;cash;active
TiagMatias103;Tiago Matias;M;06/04/1966;18/08/2021;debit_card;active
XaLoureiro20;Xavier do Loureiro;M;11/03/1960;25/12/2010;cash;active
KeCoelho149;Kevin Coelho;M;18/01/2001;15/02/2012;cash;active
